No,gpa_post,gpa_prior,rm_avg,rm_diff,or_indorm,gender,major,cohort,semester
36,0.3142857142857143,0.1523809523809524,0.6952380952380953,0.06984126984126988,4,0,5,1,1
36,0.26666666666666666,0.3142857142857143,0.5492063492063493,0.3746031746031746,3,0,5,1,2
36,0.2857142857142857,0.26666666666666666,0.6412698412698413,0.28571428571428575,4,0,5,1,3
36,0.5428571428571428,0.2857142857142857,0.5365079365079365,0.45714285714285713,3,0,5,1,4
37,0.8,0.819047619047619,0.6158730158730159,0.36190476190476195,1,1,5,1,1
37,1.0,0.8,0.46349206349206346,0.45079365079365075,1,1,5,1,2
37,0.9523809523809523,1.0,0.546031746031746,0.2793650793650793,1,1,5,1,3
37,0.9333333333333333,0.9523809523809523,0.580952380952381,0.380952380952381,1,1,5,1,4
38,0.08571428571428572,0.26666666666666666,0.8000000000000002,0.03174603174603171,4,1,5,1,1
38,0.49523809523809526,0.08571428571428572,0.7015873015873016,0.17142857142857149,4,1,5,1,2
38,0.2571428571428571,0.49523809523809526,0.7142857142857143,0.4253968253968254,3,1,5,1,3
38,0.3904761904761905,0.2571428571428571,0.8126984126984126,0.1968253968253968,4,1,5,1,4
39,0.7619047619047619,0.7714285714285715,0.6317460317460317,0.3682539682539683,3,1,5,1,1
39,0.780952380952381,0.7619047619047619,0.4761904761904762,0.4761904761904761,2,1,5,1,2
39,0.8285714285714286,0.780952380952381,0.6190476190476191,0.4253968253968254,2,1,5,1,3
39,0.8095238095238095,0.8285714285714286,0.6222222222222222,0.46349206349206346,2,1,5,1,4
40,0.5428571428571428,0.8095238095238095,0.6190476190476191,0.3682539682539683,2,1,5,1,1
40,0.3619047619047619,0.5428571428571428,0.5492063492063491,0.4761904761904762,3,1,5,1,2
40,0.6571428571428571,0.3619047619047619,0.7587301587301587,0.3365079365079365,4,1,5,1,3
40,0.4666666666666667,0.6571428571428571,0.6793650793650793,0.46349206349206346,3,1,5,1,4
41,0.5238095238095238,0.4857142857142857,0.3215339233038348,0.44247787610619466,2,1,5,1,1
41,0.7047619047619048,0.5238095238095238,0.32153392330383485,0.3716814159292035,2,1,5,1,2
41,0.49523809523809526,0.7047619047619048,0.3775811209439528,0.4129793510324484,2,1,5,1,3
41,0.6761904761904762,0.49523809523809526,0.4218289085545723,0.27728613569321536,2,1,5,1,4
42,0.10619469026548672,0.17699115044247787,0.42444163506110416,0.4424778761061947,3,1,4,1,1
42,0.12389380530973451,0.10619469026548672,0.46073886781851386,0.31268436578171094,4,1,4,1,2
42,0.336283185840708,0.12389380530973451,0.5712038207613429,0.3185840707964602,4,1,4,1,3
42,0.061946902654867256,0.336283185840708,0.4748138783537013,0.27728613569321536,3,1,4,1,4
43,0.19469026548672566,0.061946902654867256,0.46278971765697435,0.36578171091445427,4,1,4,1,1
43,0.26548672566371684,0.19469026548672566,0.4312403427447675,0.3716814159292035,3,1,4,1,2
43,0.25663716814159293,0.26548672566371684,0.5240061806433488,0.4129793510324484,3,1,4,1,3
43,0.36283185840707965,0.25663716814159293,0.5013625509200731,0.224188790560472,4,1,4,1,4
44,0.6637168141592921,0.7256637168141593,0.24155077960387694,0.28251158870627896,1,1,4,1,1
44,0.7433628318584071,0.6637168141592921,0.2748981598539121,0.2784098890293581,1,1,4,1,2
44,0.672566371681416,0.7433628318584071,0.36471414524511875,0.3872453996347802,1,1,4,1,3
44,0.5486725663716814,0.672566371681416,0.3627194830734654,0.15906728473100154,1,1,4,1,4
45,0.5142857142857142,0.47619047619047616,0.13333333333333333,0.1523809523809524,1,0,5,1,1
45,0.4857142857142857,0.5142857142857142,0.1111111111111111,0.11428571428571428,1,0,5,1,2
45,0.3333333333333333,0.4857142857142857,0.2349206349206349,0.2984126984126984,1,0,5,1,3
45,0.29523809523809524,0.3333333333333333,0.21587301587301588,0.3111111111111111,2,0,5,1,4
46,0.19047619047619047,0.22857142857142856,0.21587301587301586,0.31746031746031744,2,0,5,1,1
46,0.45714285714285713,0.19047619047619047,0.21904761904761905,0.33015873015873015,2,0,5,1,2
46,0.4666666666666667,0.45714285714285713,0.24444444444444446,0.31746031746031744,2,0,5,1,3
46,0.41904761904761906,0.4666666666666667,0.1714285714285714,0.2222222222222222,1,0,5,1,4
47,0.01904761904761905,0.0,0.2920634920634921,0.20317460317460315,4,0,5,1,1
47,0.009523809523809525,0.01904761904761905,0.27619047619047615,0.2603174603174603,4,0,5,1,2
47,0.0,0.009523809523809525,0.39365079365079364,0.16507936507936508,4,0,5,1,3
47,0.0,0.0,0.326984126984127,0.19047619047619047,4,0,5,1,4
48,0.12380952380952381,0.17142857142857143,0.2349206349206349,0.31746031746031744,3,0,5,1,1
48,0.23809523809523808,0.12380952380952381,0.24126984126984127,0.33015873015873015,3,0,5,1,2
